mass,logt,lum
0.01,5.69521,-2.469
0.01,5.702261,-2.474
0.01,5.709309,-2.479
0.01,5.723397,-2.488
0.01,5.730433,-2.493
0.01,5.744493,-2.503
0.01,5.751519,-2.508
0.01,5.765566,-2.518
0.01,5.772584,-2.523
0.01,5.779597,-2.528
0.01,5.793615,-2.538
0.01,5.800622,-2.543
0.01,5.814632,-2.553
0.01,5.821635,-2.558
0.01,5.835638,-2.568
0.01,5.842639,-2.574
0.01,5.849638,-2.579
0.01,5.863639,-2.589
0.01,5.870643,-2.594
0.01,5.884662,-2.604
0.01,5.891678,-2.61
0.01,5.905728,-2.621
0.01,5.912768,-2.626
0.01,5.919817,-2.632
0.01,5.933952,-2.643
0.01,5.941039,-2.649
0.01,5.955249,-2.66
0.01,5.96237,-2.666
0.01,5.969501,-2.672
0.01,5.983794,-2.683
0.01,5.990957,-2.689
0.01,6.005314,-2.701
0.01,6.012504,-2.706
0.01,6.019702,-2.712
0.01,6.034119,-2.724
0.01,6.041337,-2.73
0.01,6.055795,-2.742
0.01,6.063033,-2.748
0.01,6.070271,-2.754
0.01,6.084773,-2.766
0.01,6.092029,-2.772
0.01,6.099294,-2.778
0.01,6.11384,-2.79
0.01,6.12112,-2.796
0.01,6.135702,-2.808
0.01,6.143005,-2.814
0.01,6.150317,-2.821
0.01,6.164736,-2.833
0.01,6.172074,-2.84
0.01,6.179428,-2.846
0.01,6.194181,-2.86
0.01,6.201583,-2.866
0.01,6.209003,-2.873
0.01,6.22389,-2.886
0.01,6.231363,-2.893
0.01,6.246363,-2.907
0.01,6.253895,-2.914
0.01,6.261444,-2.921
0.01,6.269015,-2.928
0.01,6.284223,-2.942
0.01,6.291861,-2.949
0.01,6.299523,-2.956
0.01,6.31491,-2.97
0.01,6.322637,-2.977
0.01,6.330385,-2.985
0.01,6.345948,-2.999
0.01,6.353762,-3.007
0.01,6.361598,-3.014
0.01,6.369455,-3.022
0.01,6.385234,-3.037
0.01,6.39315,-3.045
0.01,6.401087,-3.052
0.01,6.40904,-3.06
0.01,6.425004,-3.075
0.01,6.433016,-3.083
0.01,6.441049,-3.091
0.01,6.449103,-3.099
0.01,6.465282,-3.115
0.01,6.473408,-3.123
0.01,6.481562,-3.131
0.01,6.489743,-3.139
0.01,6.506198,-3.156
0.01,6.514472,-3.164
0.01,6.522779,-3.172
0.01,6.531121,-3.181
0.01,6.539498,-3.189
0.01,6.55636,-3.207
0.01,6.564862,-3.217
0.01,6.573421,-3.227
0.01,6.582037,-3.236
0.01,6.590713,-3.246
0.01,6.599444,-3.256
0.01,6.617082,-3.277
0.01,6.625987,-3.287
0.01,6.634951,-3.297
0.01,6.643971,-3.308
0.01,6.653048,-3.318
0.01,6.662184,-3.329
0.01,6.671377,-3.34
0.01,6.680627,-3.354
0.01,6.690018,-3.37
0.01,6.699242,-3.386
0.01,6.718837,-3.42
0.01,6.728901,-3.437
0.01,6.739151,-3.455
0.01,6.749593,-3.467
0.01,6.760093,-3.479
0.01,6.770617,-3.49
0.01,6.781146,-3.502
0.01,6.791656,-3.513
0.01,6.802137,-3.525
0.01,6.812598,-3.536
0.01,6.823039,-3.548
0.01,6.833459,-3.559
0.01,6.843869,-3.571
0.01,6.854282,-3.583
0.01,6.8647,-3.594
0.01,6.875107,-3.616
0.01,6.885804,-3.642
0.01,6.896882,-3.669
0.01,6.908324,-3.696
0.01,6.920144,-3.721
0.01,6.932291,-3.744
0.01,6.944686,-3.767
0.01,6.957357,-3.791
0.01,6.970319,-3.815
0.01,6.983581,-3.839
0.01,6.997108,-3.856
0.01,7.010724,-3.874
0.01,7.024432,-3.892
0.01,7.038247,-3.911
0.01,7.052155,-3.929
0.01,7.066169,-3.947
0.01,7.080287,-3.965
0.01,7.094513,-3.978
0.01,7.108629,-3.988
0.01,7.12258,-3.998
0.01,7.136375,-4.008
0.01,7.150028,-4.019
0.01,7.163549,-4.029
0.01,7.176942,-4.039
0.01,7.190214,-4.05
0.01,7.203376,-4.06
0.01,7.216427,-4.071
0.01,7.229375,-4.082
0.01,7.242228,-4.092
0.01,7.254988,-4.103
0.01,7.267648,-4.114
0.01,7.280209,-4.125
0.01,7.292677,-4.136
0.01,7.305055,-4.146
0.01,7.317439,-4.157
0.01,7.329733,-4.167
0.01,7.341917,-4.178
0.01,7.353993,-4.188
0.01,7.365959,-4.199
0.01,7.377816,-4.21
0.01,7.389567,-4.22
0.01,7.401207,-4.231
0.01,7.412741,-4.242
0.01,7.424181,-4.254
0.01,7.435531,-4.265
0.01,7.446796,-4.276
0.01,7.457979,-4.288
0.01,7.469081,-4.3
0.01,7.480108,-4.311
0.01,7.491136,-4.324
0.01,7.502295,-4.336
0.01,7.513409,-4.349
0.01,7.524484,-4.362
0.01,7.535527,-4.374
0.01,7.546543,-4.387
0.01,7.557531,-4.4
0.01,7.568502,-4.413
0.01,7.579462,-4.426
0.01,7.590417,-4.44
0.01,7.601374,-4.453
0.01,7.612341,-4.467
0.015,5.693523,-2.208
0.015,5.700525,-2.212
0.015,5.714518,-2.222
0.015,5.721508,-2.226
0.015,5.735479,-2.235
0.015,5.742459,-2.24
0.015,5.749435,-2.245
0.015,5.763375,-2.254
0.015,5.770339,-2.258
0.015,5.784256,-2.268
0.015,5.79121,-2.272
0.015,5.805106,-2.281
0.015,5.811925,-2.286
0.015,5.825797,-2.295
0.015,5.832728,-2.3
0.015,5.839656,-2.304
0.015,5.853502,-2.314
0.015,5.86042,-2.318
0.015,5.874248,-2.328
0.015,5.881157,-2.333
0.015,5.894983,-2.343
0.015,5.901902,-2.348
0.015,5.915753,-2.358
0.015,5.922687,-2.363
0.015,5.929624,-2.368
0.015,5.943516,-2.378
0.015,5.950469,-2.383
0.015,5.964388,-2.394
0.015,5.971351,-2.399
0.015,5.985288,-2.409
0.015,5.992261,-2.414
0.015,5.999236,-2.419
0.015,6.013195,-2.43
0.015,6.020179,-2.435
0.015,6.034151,-2.445
0.015,6.041144,-2.45
0.015,6.05513,-2.461
0.015,6.062123,-2.466
0.015,6.06912,-2.471
0.015,6.083115,-2.482
0.015,6.090117,-2.487
0.015,6.104122,-2.498
0.015,6.111125,-2.503
0.015,6.12514,-2.514
0.015,6.132151,-2.519
0.015,6.139164,-2.524
0.015,6.153202,-2.535
0.015,6.160228,-2.541
0.015,6.174295,-2.551
0.015,6.181338,-2.557
0.015,6.19544,-2.568
0.015,6.202505,-2.573
0.015,6.209579,-2.579
0.015,6.223758,-2.59
0.015,6.230863,-2.595
0.015,6.245103,-2.606
0.015,6.252239,-2.612
0.015,6.259386,-2.617
0.015,6.273719,-2.628
0.015,6.280904,-2.634
0.015,6.295314,-2.645
0.015,6.302537,-2.651
0.015,6.309773,-2.656
0.015,6.324285,-2.667
0.015,6.331561,-2.673
0.015,6.346157,-2.684
0.015,6.353474,-2.69
0.015,6.36062,-2.696
0.015,6.37532,-2.707
0.015,6.38269,-2.713
0.015,6.39008,-2.719
0.015,6.404906,-2.73
0.015,6.412343,-2.736
0.015,6.419797,-2.742
0.015,6.434768,-2.754
0.015,6.442284,-2.76
0.015,6.449822,-2.766
0.015,6.464975,-2.778
0.015,6.472596,-2.784
0.015,6.480247,-2.79
0.015,6.495659,-2.802
0.015,6.503411,-2.808
0.015,6.511221,-2.814
0.015,6.519082,-2.82
0.015,6.534972,-2.833
0.015,6.543011,-2.839
0.015,6.551119,-2.845
0.015,6.559302,-2.852
0.015,6.575916,-2.865
0.015,6.584361,-2.871
0.015,6.592906,-2.877
0.015,6.601559,-2.884
0.015,6.61033,-2.89
0.015,6.619229,-2.897
0.015,6.637458,-2.91
0.015,6.646813,-2.916
0.015,6.65635,-2.923
0.015,6.666085,-2.929
0.015,6.676037,-2.936
0.015,6.686226,-2.942
0.015,6.696678,-2.949
0.015,6.70742,-2.956
0.015,6.718487,-2.962
0.015,6.729915,-2.969
0.015,6.741749,-2.975
0.015,6.754041,-2.982
0.015,6.766552,-2.989
0.015,6.778949,-2.995
0.015,6.791223,-3.001
0.015,6.803368,-3.006
0.015,6.815376,-3.011
0.015,6.827243,-3.016
0.015,6.838968,-3.021
0.015,6.850554,-3.026
0.015,6.861995,-3.031
0.015,6.873289,-3.035
0.015,6.884432,-3.039
0.015,6.895423,-3.043
0.015,6.90626,-3.046
0.015,6.918917,-3.05
0.015,6.933636,-3.055
0.015,6.950663,-3.06
0.015,6.970252,-3.065
0.015,6.992649,-3.07
0.015,7.018084,-3.076
0.015,7.04676,-3.082
0.015,7.078848,-3.089
0.015,7.114464,-3.096
0.015,7.153205,-3.105
0.015,7.187456,-3.113
0.015,7.218049,-3.121
0.015,7.245611,-3.129
0.015,7.270616,-3.138
0.015,7.293438,-3.146
0.015,7.314377,-3.154
0.015,7.333675,-3.163
0.015,7.351532,-3.171
0.015,7.368114,-3.179
0.015,7.38356,-3.187
0.015,7.39799,-3.195
0.015,7.411505,-3.203
0.015,7.424197,-3.211
0.015,7.43614,-3.22
0.015,7.447406,-3.228
0.015,7.458056,-3.236
0.015,7.46814,-3.245
0.015,7.476369,-3.252
0.015,7.483109,-3.258
0.015,7.488647,-3.264
0.015,7.493878,-3.27
0.015,7.499129,-3.275
0.015,7.5044,-3.281
0.015,7.509696,-3.288
0.015,7.515019,-3.294
0.015,7.520372,-3.301
0.015,7.525761,-3.308
0.015,7.531186,-3.315
0.015,7.536654,-3.323
0.015,7.542178,-3.332
0.015,7.547762,-3.341
0.015,7.553413,-3.351
0.015,7.559135,-3.36
0.015,7.564758,-3.37
0.015,7.570197,-3.38
0.015,7.575464,-3.39
0.015,7.58057,-3.4
0.015,7.585527,-3.409
0.015,7.590345,-3.419
0.015,7.59503,-3.429
0.015,7.599593,-3.439
0.015,7.60404,-3.449
0.015,7.608379,-3.461
0.015,7.612619,-3.473
0.015,7.616762,-3.485
0.015,7.620818,-3.497
0.015,7.624789,-3.508
0.015,7.628683,-3.519
0.015,7.632504,-3.531
0.015,7.636254,-3.542
0.015,7.639939,-3.553
0.015,7.643563,-3.563
0.015,7.647129,-3.572
0.015,7.650639,-3.581
0.015,7.654097,-3.589
0.015,7.657504,-3.598
0.015,7.660865,-3.606
0.015,7.664182,-3.615
0.015,7.667456,-3.624
0.015,7.67069,-3.632
0.015,7.673887,-3.641
0.015,7.677047,-3.649
0.015,7.680174,-3.658
0.015,7.683269,-3.666
0.015,7.686332,-3.675
0.015,7.689368,-3.683
0.015,7.692376,-3.693
0.015,7.695359,-3.707
0.015,7.698317,-3.722
0.015,7.701253,-3.736
0.015,7.704167,-3.75
0.015,7.70706,-3.763
0.015,7.709934,-3.777
0.015,7.712789,-3.79
0.015,7.721251,-3.838
0.015,7.729574,-3.891
0.015,7.74048,-3.934
0.015,7.751193,-3.958
0.015,7.759119,-3.976
0.015,7.76956,-4.0
0.015,7.783287,-4.03
0.015,7.79462,-4.055
0.015,7.801881,-4.068
0.015,7.809392,-4.08
0.015,7.824486,-4.105
0.015,7.832078,-4.118
0.015,7.8397,-4.13
0.015,7.855046,-4.156
0.015,7.862772,-4.169
0.015,7.870529,-4.183
0.015,7.886125,-4.209
0.015,7.893964,-4.224
0.015,7.901909,-4.24
0.015,7.909942,-4.256
0.015,7.926226,-4.288
0.015,7.934489,-4.305
0.015,7.94284,-4.322
0.015,7.951283,-4.34
0.015,7.959829,-4.358
0.015,7.977292,-4.389
0.015,7.986209,-4.404
0.015,7.995184,-4.419
0.015,8.004222,-4.435
0.015,8.013322,-4.451
0.015,8.022503,-4.467
0.015,8.03176,-4.483
0.015,8.041108,-4.499
0.015,8.05055,-4.516
0.02,5.689884,-2.044
0.02,5.70454,-2.052
0.02,5.711852,-2.057
0.02,5.719153,-2.061
0.02,5.733725,-2.07
0.02,5.740997,-2.074
0.02,5.755512,-2.083
0.02,5.762756,-2.087
0.02,5.769991,-2.092
0.02,5.784435,-2.101
0.02,5.791643,-2.105
0.02,5.806028,-2.114
0.02,5.813206,-2.118
0.02,5.820375,-2.123
0.02,5.834542,-2.131
0.02,5.841681,-2.136
0.02,5.855934,-2.145
0.02,5.863047,-2.149
0.02,5.870155,-2.154
0.02,5.884363,-2.164
0.02,5.891462,-2.169
0.02,5.905651,-2.178
0.02,5.912741,-2.183
0.02,5.919828,-2.188
0.02,5.933992,-2.197
0.02,5.941069,-2.202
0.02,5.955214,-2.212
0.02,5.962282,-2.217
0.02,5.969348,-2.222
0.02,5.983474,-2.231
0.02,5.990534,-2.236
0.02,6.004648,-2.246
0.02,6.011702,-2.251
0.02,6.02581,-2.261
0.02,6.03286,-2.266
0.02,6.03991,-2.271
0.02,6.054004,-2.281
0.02,6.061049,-2.285
0.02,6.075138,-2.295
0.02,6.082178,-2.3
0.02,6.08922,-2.305
0.02,6.103304,-2.315
0.02,6.110344,-2.32
0.02,6.124423,-2.33
0.02,6.131468,-2.335
0.02,6.145557,-2.345
0.02,6.152603,-2.35
0.02,6.159654,-2.355
0.02,6.173763,-2.365
0.02,6.180822,-2.37
0.02,6.194947,-2.38
0.02,6.202014,-2.385
0.02,6.209083,-2.39
0.02,6.223228,-2.4
0.02,6.230306,-2.406
0.02,6.244465,-2.416
0.02,6.251546,-2.421
0.02,6.265709,-2.431
0.02,6.272814,-2.436
0.02,6.27992,-2.441
0.02,6.294221,-2.452
0.02,6.301401,-2.457
0.02,6.315872,-2.467
0.02,6.32318,-2.472
0.02,6.330503,-2.477
0.02,6.345389,-2.488
0.02,6.35279,-2.493
0.02,6.360404,-2.498
0.02,6.375909,-2.508
0.02,6.383828,-2.514
0.02,6.391905,-2.519
0.02,6.400065,-2.524
0.02,6.417085,-2.534
0.02,6.425785,-2.54
0.02,6.434879,-2.545
0.02,6.444156,-2.55
0.02,6.453638,-2.555
0.02,6.463712,-2.56
0.02,6.474091,-2.565
0.02,6.484814,-2.57
0.02,6.496443,-2.576
0.02,6.508375,-2.581
0.02,6.520176,-2.585
0.02,6.531831,-2.589
0.02,6.543334,-2.593
0.02,6.554682,-2.596
0.02,6.565861,-2.6
0.02,6.57687,-2.603
0.02,6.587706,-2.605
0.02,6.600364,-2.608
0.02,6.615082,-2.611
0.02,6.632109,-2.614
0.02,6.651698,-2.617
0.02,6.674094,-2.62
0.02,6.699529,-2.623
0.02,6.728206,-2.626
0.02,6.759263,-2.629
0.02,6.787361,-2.632
0.02,6.812962,-2.635
0.02,6.836426,-2.637
0.02,6.858036,-2.64
0.02,6.878156,-2.642
0.02,6.896904,-2.645
0.02,6.914398,-2.647
0.02,6.930753,-2.65
0.02,6.946072,-2.653
0.02,6.960447,-2.655
0.02,6.974022,-2.657
0.02,6.986843,-2.66
0.02,6.998958,-2.663
0.02,7.010414,-2.665
0.02,7.02126,-2.668
0.02,7.031538,-2.671
0.02,7.041318,-2.673
0.02,7.050623,-2.676
0.02,7.059484,-2.679
0.02,7.067922,-2.682
0.02,7.075963,-2.684
0.02,7.083646,-2.687
0.02,7.090991,-2.69
0.02,7.098013,-2.692
0.02,7.104729,-2.695
0.02,7.111152,-2.698
0.02,7.117314,-2.701
0.02,7.123221,-2.703
0.02,7.128887,-2.706
0.02,7.134327,-2.709
0.02,7.139545,-2.712
0.02,7.144556,-2.715
0.02,7.149373,-2.717
0.02,7.15401,-2.72
0.02,7.158471,-2.723
0.02,7.162687,-2.726
0.02,7.166824,-2.729
0.02,7.170813,-2.732
0.02,7.174659,-2.735
0.02,7.17837,-2.738
0.02,7.181949,-2.741
0.02,7.185403,-2.743
0.02,7.188743,-2.746
0.02,7.191968,-2.749
0.02,7.195086,-2.752
0.02,7.198101,-2.755
0.02,7.20102,-2.758
0.02,7.203843,-2.76
0.02,7.206578,-2.763
0.02,7.209225,-2.766
0.02,7.211793,-2.769
0.02,7.214279,-2.772
0.02,7.216694,-2.774
0.02,7.219034,-2.777
0.02,7.221305,-2.78
0.02,7.223512,-2.782
0.02,7.225653,-2.785
0.02,7.229759,-2.79
0.02,7.239079,-2.803
0.02,7.250252,-2.821
0.02,7.259706,-2.837
0.02,7.269954,-2.856
0.02,7.279466,-2.875
0.02,7.289,-2.896
0.02,7.29949,-2.919
0.02,7.309068,-2.941
0.02,7.320281,-2.965
0.02,7.329729,-2.985
0.02,7.339555,-3.006
0.02,7.34961,-3.026
0.02,7.360067,-3.047
0.02,7.370846,-3.068
0.02,7.381952,-3.089
0.02,7.389547,-3.103
0.02,7.40124,-3.124
0.02,7.409248,-3.14
0.02,7.421688,-3.168
0.02,7.43032,-3.187
0.02,7.439247,-3.207
0.02,7.453227,-3.237
0.02,7.462961,-3.258
0.02,7.473049,-3.278
0.02,7.483412,-3.297
0.02,7.494035,-3.316
0.02,7.499445,-3.326
0.02,7.510467,-3.346
0.02,7.521768,-3.366
0.02,7.533354,-3.387
0.02,7.539258,-3.398
0.02,7.551101,-3.42
0.02,7.563495,-3.445
0.02,7.569816,-3.457
0.02,7.582642,-3.481
0.02,7.589148,-3.494
0.02,7.602347,-3.519
0.02,7.60904,-3.532
0.02,7.622638,-3.56
0.02,7.629555,-3.573
0.02,7.643636,-3.601
0.02,7.6508,-3.615
0.02,7.665367,-3.643
0.02,7.672772,-3.657
0.02,7.680276,-3.672
0.02,7.695583,-3.702
0.02,7.703399,-3.718
0.02,7.711323,-3.734
0.02,7.719359,-3.749
0.02,7.73581,-3.789
0.02,7.744388,-3.813
0.02,7.753228,-3.836
0.02,7.762335,-3.86
0.02,7.771709,-3.896
0.02,7.781667,-3.966
0.02,7.793163,-3.997
0.02,7.804988,-4.011
0.02,7.816767,-4.025
0.02,7.828575,-4.04
0.02,7.840378,-4.054
0.02,7.852174,-4.068
0.02,7.86396,-4.083
0.02,7.875733,-4.098
0.02,7.887493,-4.113
0.02,7.899239,-4.128
0.02,7.910976,-4.142
0.02,7.922719,-4.157
0.02,7.934443,-4.172
0.02,7.946153,-4.187
0.02,7.95785,-4.203
0.02,7.969529,-4.218
0.02,7.981202,-4.234
0.02,7.992876,-4.249
0.02,8.004554,-4.265
0.02,8.016231,-4.284
0.02,8.028087,-4.305
0.02,8.040131,-4.326
0.02,8.052317,-4.347
0.02,8.064649,-4.368
0.02,8.077128,-4.389
0.02,8.089757,-4.41
0.03,5.695099,-1.783
0.03,5.701943,-1.787
0.03,5.715602,-1.794
0.03,5.72242,-1.798
0.03,5.729229,-1.802
0.03,5.742815,-1.81
0.03,5.749594,-1.814
0.03,5.763116,-1.822
0.03,5.769862,-1.826
0.03,5.783317,-1.833
0.03,5.790027,-1.837
0.03,5.803407,-1.845
0.03,5.810079,-1.849
0.03,5.823384,-1.856
0.03,5.830015,-1.86
0.03,5.843235,-1.867
0.03,5.849825,-1.871
0.03,5.86296,-1.878
0.03,5.869505,-1.882
0.03,5.882557,-1.89
0.03,5.889063,-1.893
0.03,5.902038,-1.901
0.03,5.914981,-1.91
0.03,5.921454,-1.915
0.03,5.934407,-1.924
0.03,5.940888,-1.929
0.03,5.953863,-1.938
0.03,5.960358,-1.943
0.03,5.973384,-1.952
0.03,5.979909,-1.957
0.03,5.992981,-1.966
0.03,5.999536,-1.971
0.03,6.012694,-1.98
0.03,6.019291,-1.985
0.03,6.03255,-1.994
0.03,6.039204,-1.999
0.03,6.052605,-2.008
0.03,6.059359,-2.013
0.03,6.072963,-2.022
0.03,6.079818,-2.027
0.03,6.093684,-2.036
0.03,6.100701,-2.041
0.03,6.114908,-2.05
0.03,6.122111,-2.054
0.03,6.129406,-2.059
0.03,6.144263,-2.068
0.03,6.151845,-2.073
0.03,6.159564,-2.078
0.03,6.175422,-2.087
0.03,6.183589,-2.091
0.03,6.191976,-2.096
0.03,6.200563,-2.1
0.03,6.209429,-2.105
0.03,6.228051,-2.114
0.03,6.237895,-2.118
0.03,6.248223,-2.123
0.03,6.259039,-2.127
0.03,6.270201,-2.131
0.03,6.281243,-2.135
0.03,6.292154,-2.139
0.03,6.30293,-2.142
0.03,6.313564,-2.145
0.03,6.324054,-2.148
0.03,6.334393,-2.151
0.03,6.344583,-2.153
0.03,6.354617,-2.155
0.03,6.364497,-2.157
0.03,6.376062,-2.159
0.03,6.389549,-2.161
0.03,6.405196,-2.164
0.03,6.423259,-2.166
0.03,6.443987,-2.169
0.03,6.467621,-2.171
0.03,6.494256,-2.174
0.03,6.51839,-2.176
0.03,6.540438,-2.178
0.03,6.560735,-2.181
0.03,6.579501,-2.183
0.03,6.596919,-2.185
0.03,6.613138,-2.187
0.03,6.628297,-2.189
0.03,6.642498,-2.191
0.03,6.655829,-2.193
0.03,6.668364,-2.195
0.03,6.680183,-2.197
0.03,6.691342,-2.199
0.03,6.701891,-2.202
0.03,6.711877,-2.204
0.03,6.721348,-2.206
0.03,6.730338,-2.208
0.03,6.738882,-2.21
0.03,6.747008,-2.212
0.03,6.75475,-2.214
0.03,6.76213,-2.216
0.03,6.76917,-2.218
0.03,6.775894,-2.22
0.03,6.782317,-2.222
0.03,6.788463,-2.224
0.03,6.794344,-2.226
0.03,6.799978,-2.228
0.03,6.805377,-2.23
0.03,6.810556,-2.232
0.03,6.815527,-2.234
0.03,6.820301,-2.236
0.03,6.824888,-2.238
0.03,6.829298,-2.24
0.03,6.83354,-2.242
0.03,6.837624,-2.244
0.03,6.841556,-2.246
0.03,6.845344,-2.248
0.03,6.848996,-2.25
0.03,6.852518,-2.252
0.03,6.855916,-2.254
0.03,6.859196,-2.256
0.03,6.862364,-2.258
0.03,6.865424,-2.26
0.03,6.868383,-2.261
0.03,6.871243,-2.263
0.03,6.874011,-2.265
0.03,6.879282,-2.269
0.03,6.891092,-2.278
0.03,6.899338,-2.285
0.03,6.910075,-2.295
0.03,6.919226,-2.304
0.03,6.929506,-2.316
0.03,6.939069,-2.328
0.03,6.949424,-2.343
0.03,6.959074,-2.358
0.03,6.969391,-2.374
0.03,6.979136,-2.391
0.03,6.989219,-2.408
0.03,7.001617,-2.43
0.03,7.010834,-2.446
0.03,7.02022,-2.462
0.03,7.029915,-2.478
0.03,7.039862,-2.494
0.03,7.050066,-2.51
0.03,7.060535,-2.526
0.03,7.071278,-2.543
0.03,7.082304,-2.559
0.03,7.089813,-2.57
0.03,7.101324,-2.586
0.03,7.109167,-2.597
0.03,7.121176,-2.614
0.03,7.129345,-2.625
0.03,7.14171,-2.641
0.03,7.150194,-2.652
0.03,7.163149,-2.669
0.03,7.17194,-2.68
0.03,7.180845,-2.691
0.03,7.189866,-2.702
0.03,7.199001,-2.713
0.03,7.212909,-2.73
0.03,7.222313,-2.742
0.03,7.231836,-2.753
0.03,7.241484,-2.765
0.03,7.251251,-2.778
0.03,7.261141,-2.79
0.03,7.271158,-2.802
0.03,7.281302,-2.814
0.03,7.291578,-2.827
0.03,7.301987,-2.839
0.03,7.312529,-2.852
0.03,7.323211,-2.864
0.03,7.334027,-2.877
0.03,7.339487,-2.883
0.03,7.35051,-2.896
0.03,7.361667,-2.909
0.03,7.37296,-2.922
0.03,7.384387,-2.935
0.03,7.390151,-2.941
0.03,7.40178,-2.955
0.03,7.413358,-2.968
0.03,7.419291,-2.975
0.03,7.431266,-2.989
0.03,7.443382,-3.003
0.03,7.449485,-3.01
0.03,7.461778,-3.024
0.03,7.4742,-3.039
0.03,7.480455,-3.046
0.03,7.493069,-3.06
0.03,7.499426,-3.068
0.03,7.512244,-3.083
0.03,7.525212,-3.098
0.03,7.531751,-3.105
0.03,7.544952,-3.12
0.03,7.551613,-3.127
0.03,7.565035,-3.141
0.03,7.57179,-3.148
0.03,7.585399,-3.162
0.03,7.592252,-3.169
0.03,7.59914,-3.176
0.03,7.61302,-3.19
0.03,7.620017,-3.198
0.03,7.633967,-3.212
0.03,7.641082,-3.22
0.03,7.655425,-3.235
0.03,7.662663,-3.242
0.03,7.669942,-3.25
0.03,7.684581,-3.266
0.03,7.691939,-3.274
0.03,7.699326,-3.282
0.03,7.714208,-3.304
0.03,7.721777,-3.317
0.03,7.729447,-3.329
0.03,7.745093,-3.354
0.03,7.753073,-3.367
0.03,7.761156,-3.38
0.03,7.769345,-3.393
0.03,7.786017,-3.416
0.03,7.794449,-3.427
0.03,7.802934,-3.438
0.03,7.811435,-3.449
0.03,7.819952,-3.461
0.03,7.837046,-3.484
0.03,7.845618,-3.495
0.03,7.854209,-3.507
0.03,7.862817,-3.518
0.03,7.871448,-3.531
0.03,7.880106,-3.543
0.03,7.897536,-3.569
0.03,7.906309,-3.581
0.03,7.915124,-3.594
0.03,7.92398,-3.607
0.03,7.93288,-3.62
0.03,7.941823,-3.633
0.03,7.950809,-3.647
0.03,7.959856,-3.661
0.03,7.96898,-3.676
0.03,7.987469,-3.706
0.03,7.996837,-3.721
0.03,8.006286,-3.736
0.03,8.015816,-3.752
0.03,8.025445,-3.77
0.03,8.03523,-3.789
0.03,8.045159,-3.808
0.03,8.055237,-3.828
0.03,8.06546,-3.848
0.03,8.075835,-3.867
0.03,8.086374,-3.885
0.03,8.097066,-3.902
0.03,8.107851,-3.92
0.03,8.118728,-3.938
0.03,8.129693,-3.956
0.03,8.140731,-3.975
0.03,8.151845,-4.001
0.03,8.163352,-4.03
0.03,8.175242,-4.06
0.03,8.187495,-4.089
0.03,8.200109,-4.108
0.03,8.212654,-4.125
0.03,8.225185,-4.143
0.03,8.237735,-4.16
0.03,8.250313,-4.178
0.03,8.26293,-4.196
0.03,8.275597,-4.215
0.03,8.288323,-4.233
0.03,8.301123,-4.251
0.03,8.313994,-4.27
0.03,8.326934,-4.289
0.03,8.339954,-4.308
0.03,8.353066,-4.327
0.03,8.366277,-4.346
0.03,8.379601,-4.365
0.03,8.393073,-4.379
0.03,8.40668,-4.393
0.03,8.420255,-4.408
0.03,8.433802,-4.422
0.03,8.447319,-4.437
0.03,8.460809,-4.452
0.03,8.474277,-4.466
0.03,8.487726,-4.481
0.03,8.501159,-4.495
0.03,8.51458,-4.51
0.04,5.69435,-1.655
0.04,5.702331,-1.659
0.04,5.710277,-1.663
0.04,5.726056,-1.67
0.04,5.733893,-1.674
0.04,5.741697,-1.677
0.04,5.749468,-1.681
0.04,5.764916,-1.688
0.04,5.772597,-1.692
0.04,5.780252,-1.695
0.04,5.795482,-1.702
0.04,5.803064,-1.706
0.04,5.810622,-1.709
0.04,5.825684,-1.716
0.04,5.83319,-1.719
0.04,5.840678,-1.723
0.04,5.855618,-1.73
0.04,5.863075,-1.733
0.04,5.870517,-1.737
0.04,5.88542,-1.746
0.04,5.892899,-1.75
0.04,5.90039,-1.754
0.04,5.915447,-1.763
0.04,5.923021,-1.768
0.04,5.930624,-1.772
0.04,5.945944,-1.781
0.04,5.953676,-1.785
0.04,5.961455,-1.79
0.04,5.969301,-1.794
0.04,5.985209,-1.803
0.04,5.99329,-1.807
0.04,6.001461,-1.812
0.04,6.009753,-1.816
0.04,6.026713,-1.825
0.04,6.035442,-1.829
0.04,6.044348,-1.834
0.04,6.053474,-1.838
0.04,6.062834,-1.842
0.04,6.072485,-1.847
0.04,6.082451,-1.851
0.04,6.092812,-1.855
0.04,6.103609,-1.86
0.04,6.114951,-1.864
0.04,6.126716,-1.868
0.04,6.138334,-1.872
0.04,6.149798,-1.875
0.04,6.161104,-1.879
0.04,6.172247,-1.882
0.04,6.183221,-1.884
0.04,6.194026,-1.887
0.04,6.20466,-1.889
0.04,6.215119,-1.891
0.04,6.225408,-1.893
0.04,6.237438,-1.895
0.04,6.251451,-1.897
0.04,6.267688,-1.899
0.04,6.286405,-1.902
0.04,6.307849,-1.904
0.04,6.332259,-1.906
0.04,6.35655,-1.909
0.04,6.37871,-1.911
0.04,6.399069,-1.913
0.04,6.417877,-1.915
0.04,6.435335,-1.917
0.04,6.451596,-1.919
0.04,6.466789,-1.921
0.04,6.48102,-1.923
0.04,6.494387,-1.925
0.04,6.506966,-1.926
0.04,6.518824,-1.928
0.04,6.530024,-1.93
0.04,6.540616,-1.932
0.04,6.55065,-1.934
0.04,6.56017,-1.936
