C/H,N/H,Mg/H,Si/H,O/H,Fe/H,S/H,He/H,mass,name
8.952450117093238e-06,2.2631652417160154e-06,1.5927413944327909e-06,1.0834544614935692e-06,1.6420214589766348e-05,5.368478473673534e-07,4.4024120695706646e-07,0.07898797774581119,0.8435458329967934,11225711-3430018
6.149622807818309e-06,1.5506909983957634e-06,9.601688861809234e-07,7.377246101664038e-07,1.128588067412166e-05,3.683395969298819e-07,3.023118011440106e-07,0.0789749973664362,0.7430883974447486,05204684-4220101
6.854692832938775e-06,1.7273391881666686e-06,1.1058397914118392e-06,8.231577080606318e-07,1.2562107240751331e-05,4.1021727340008096e-07,3.3775925509100795e-07,0.07897821117787174,0.7929467931942705,04592810-4226379
0.0005872987701604562,0.0001472137272038594,4.520082215693196e-05,7.054248077600645e-05,0.0010659465220995354,3.3523859343484214e-05,2.8694085285114356e-05,0.08147436157966179,2.1793440082450104,23192209-1450108
8.092915459890282e-06,2.042275628334902e-06,1.1912312566366789e-06,9.781668345310517e-07,1.4791647946217415e-05,4.844190645361038e-07,4.022760444271103e-07,0.07898354225351785,0.7852607059124094,01393419-6008081
0.0001783601396879837,4.470491842350538e-05,1.690192499457827e-05,2.145209196934029e-05,0.00032414017266262497,1.0310579574363972e-05,8.742792019703936e-06,0.07972205371901521,0.8823617708812381,14591520-4003123
0.0001471731007582713,3.703797275236187e-05,2.5699603699815306e-05,1.7739448737378962e-05,0.0002680034991432745,8.54685594434099e-06,7.211221511268962e-06,0.07960996404670433,0.8889461740909264,19002813-4457356
6.381840574261722e-05,1.6068704704301968e-05,9.986816923060484e-06,7.701526791218504e-06,0.00011688405129506672,3.74163493094742e-06,3.1395099128992645e-06,0.07923355962924962,0.8626555251415043,00184243-3700100
0.0001473182120721422,3.7105304788489035e-05,2.5856604867533723e-05,1.775739195409381e-05,0.0002696044854003904,8.557968579088226e-06,7.238166888502678e-06,0.07961265229988797,2.212975261041402,21244878-4322040
4.916208839725392e-05,1.2379440505630461e-05,7.740922873408355e-06,5.905243343078773e-06,8.958840430853513e-05,2.8834566566179697e-06,2.4109232310987824e-06,0.07916727866022592,0.7903907954175126,13004146-2750450
0.00010576565342071711,2.654206729432411e-05,1.813615476976276e-05,1.2663240425300793e-05,0.0001919353169231726,6.134268329054387e-06,5.175034916370402e-06,0.07942174675765461,1.8027233615152447,15095347-4249198
0.00020060655323885318,5.0661273283944955e-05,3.633757690389523e-05,2.42225024573451e-05,0.0003658780378214062,1.1628716656669812e-05,9.876747390333843e-06,0.07985404294792005,2.0011173005466625,15101480-3608143
0.00010191523608956133,2.5596184748336763e-05,1.1927094397079818e-05,1.2294638117775674e-05,0.00018561924897026426,5.933976928495911e-06,5.009808377722745e-06,0.07939519806734933,0.8573244885247298,15002056-3755225
3.526679575988115e-05,8.940004124947492e-06,4.929541150552942e-06,4.2678815553330825e-06,6.440832040041357e-05,2.0821605145653118e-06,1.7373864238973186e-06,0.07910433605151014,2.315385348149215,14103861-1501117
0.0001351557224139899,3.4038524032350236e-05,1.5273662268862855e-05,1.6257407877519513e-05,0.0002463077687418929,7.846101407508852e-06,6.648064299869439e-06,0.07954032497630435,0.915190283764252,23242017-6952377
7.717160947666007e-05,1.934001157468798e-05,1.3555202619664782e-05,9.303035451250826e-06,0.00014080056056318241,4.504875484041277e-06,3.785716442492333e-06,0.07929532540719177,0.9696650082781654,15592482-0026060
0.00018524048144705451,4.656278912882162e-05,3.179163810654663e-05,2.229712401390199e-05,0.00033662263200576333,1.0715312194632882e-05,9.095896913756073e-06,0.07977914397666164,0.910489664483588,23403147-1506505
4.014509440311387e-05,1.0110830492067655e-05,4.6727499053706585e-06,4.829638364339359e-06,7.317224440010119e-05,2.3595956329532272e-06,1.9720368456459758e-06,0.07912388967102521,2.1215538018626257,05203830-4221517
0.0001491966844982152,3.747873348691362e-05,2.8729506957873358e-05,1.799124539333201e-05,0.00027157542661631663,8.643647564047645e-06,7.313184898004273e-06,0.07962386075625223,0.8717541582004761,15100548-4253465
0.00014109463004138243,3.5453977366924725e-05,2.4818072593746842e-05,1.694863548062696e-05,0.00025654639710966494,8.176307722215569e-06,6.915626197563662e-06,0.07958218846335434,2.221913734287446,19011635-4002029
0.00012843367961750172,3.22094307485697e-05,1.8943655243708177e-05,1.545769344302716e-05,0.00023340305500368723,7.448915605326108e-06,6.286073268429612e-06,0.07951815962263639,2.266243681153749,19005150-4231189
0.00013614496875750774,3.41109796818052e-05,2.0062902294986382e-05,1.6366053890291588e-05,0.00024806227542322243,7.885393573968441e-06,6.669821072605422e-06,0.07955310065265145,1.0084432002561872,15202805-4306083
0.00022457621049318458,5.6566789791517315e-05,2.672998057737145e-05,2.7139425846135107e-05,0.0004085606734104327,1.2996641094229131e-05,1.1038563164947185e-05,0.07993438585139662,0.9790032553042916,11592775-2803258
2.6152085492563454e-05,6.559397751905606e-06,2.786995628968473e-06,3.1490348807894565e-06,4.7688365177025536e-05,1.543778066860107e-06,1.2836520673677512e-06,0.07906190381856244,0.9521006488642192,12560476-4520425
1.5391879508206948e-05,3.863175359811695e-06,2.2602255817321278e-06,1.855544242238596e-06,2.7973314592379776e-05,9.116571345043966e-07,7.536006498638176e-07,0.07901585104556172,0.9648756329914556,14005761-2803324
2.3908338522113064e-06,6.044800971465844e-07,4.997909706315073e-07,2.8780675969436503e-07,4.365173035298975e-06,1.44656240933888e-07,1.1770338668661828e-07,0.07895833196772147,0.8042755015647998,23273067-6359388
2.19050001565704e-05,5.504965986362787e-06,3.121905795858011e-06,2.639941516626279e-06,3.9977136341330777e-05,1.2973432352661558e-06,1.079741585843166e-06,0.07904488492995973,0.9545446861469564,18012275-5443244
3.544676849115995e-05,8.912965431651981e-06,7.121239419086878e-06,4.255523795213764e-06,6.474134111273034e-05,2.081069689707927e-06,1.7379408732927812e-06,0.07910901930095299,0.8037530682652094,15102099-3551514
1.4865763975761718e-05,3.723707481330277e-06,2.7033163199815723e-06,1.7799614779191026e-06,2.7076813143728437e-05,8.791992904238569e-07,7.303680430270026e-07,0.07901453711403318,0.7782109623477492,15100505-3819132
0.00014111330722928116,3.546506015083518e-05,2.3395050121571995e-05,1.702303900087677e-05,0.00025734974823476015,8.194382179454899e-06,6.9334141286594795e-06,0.0795808257888144,1.7354452204238109,17590455-4222426
0.00010668174365931419,2.6804646867501268e-05,1.612996742683376e-05,1.2807607195141087e-05,0.00019355993514221176,6.1946892136493015e-06,5.223499112279149e-06,0.07942186300667681,2.1921950476874352,15100896-3601509
2.136695226131458e-05,5.378982424766461e-06,2.0577076186724918e-06,2.5738042117397058e-06,3.9103683667839634e-05,1.263941862679068e-06,1.047085390325659e-06,0.0790407407219105,0.816277943083709,15164778-4138084
0.0001413936077094644,3.55189401508876e-05,2.9142744983144266e-05,1.704959386112857e-05,0.0002580051832748006,8.208525685572175e-06,6.95938722547149e-06,0.07959305564194509,0.8948136440733794,20024494-4545102
2.6249597775969812e-05,6.538537466049222e-06,3.5330758574409036e-06,3.1412411910827696e-06,4.7696470496603814e-05,1.5396904500882794e-06,1.278460847626877e-06,0.07906334869136519,0.8530139252367901,19390171-4653429
3.3591304762385607e-05,8.465360159692872e-06,5.043757464344763e-06,4.0480653096352795e-06,6.115790432433208e-05,1.9768150174502607e-06,1.650271225415732e-06,0.0790971656119321,0.7955407453047716,15200660-0447112
2.0233302567118547e-05,5.1031557669507415e-06,3.22610591421013e-06,2.4404523622873762e-06,3.6824262564011e-05,1.1980111952196327e-06,9.902729183280462e-07,0.0790379682409011,0.7851653985376147,15004203-4252599
0.00013912847526069752,3.489160007644076e-05,2.6003864209358194e-05,1.6685439968066696e-05,0.00025227593680279353,8.052822570899495e-06,6.806854196528503e-06,0.07957515724172995,2.3903443226670045,15100078-3809066
5.871460501746451e-05,1.4828124551679366e-05,9.60587261268226e-06,7.077624638679592e-06,0.00010702455060538169,3.4454475396581152e-06,2.8863804720990003e-06,0.07921085657039496,0.9187633160835568,00192967-5425234
8.200629600189106e-05,2.055875196017266e-05,1.6857841901075528e-05,9.879912629823562e-06,0.0001494125355939371,4.783986928473981e-06,4.024210548330503e-06,0.07932149337970248,0.8303257198052675,15170732-4132497
0.00018676249293937683,4.688313081826639e-05,2.0698662443617855e-05,2.2416752502376465e-05,0.00034039520819157646,1.0786955251207518e-05,9.166369610591665e-06,0.07976544452815561,0.954848163574629,03595857-3652235
