C/H,N/H,Mg/H,Si/H,O/H,Fe/H,S/H,He/H,mass,name
0.0001723305054052514,4.330923241788035e-05,2.4081675622646783e-05,2.0757343009684724e-05,0.00031393339671839,1.9900012871288127e-05,8.456724091551082e-06,0.07975541013745746,1.140646247263469,06394684-5208203
0.00016282007243606915,4.0916445227728904e-05,2.440479207214601e-05,1.961155913024133e-05,0.0002966007275517357,1.8762126736385842e-05,7.989883588097238e-06,0.07971375939391068,0.6996760000016585,21383195-5503110
0.00014975821111560668,3.763692343969309e-05,2.345662576566231e-05,1.803819068720408e-05,0.00027279290378145067,1.7203573670320104e-05,7.348810225013912e-06,0.07965394146120584,0.7454471451149616,07193012-4404031
0.000171092316390775,4.299810965287382e-05,2.754880778484295e-05,2.0608179111142184e-05,0.0003116701872529212,1.9751918939721204e-05,8.396244260706092e-06,0.07975647014869179,0.951200540158024,07594387-0456070
0.00012622158376801465,3.17202257389239e-05,1.717160903855722e-05,1.5202999818540806e-05,0.00022992522106325054,1.440800908881401e-05,6.194481486014174e-06,0.07953757356328332,0.739408902231068,04592978-4239357
0.00024234175558936403,6.0899942488566576e-05,3.517448763241338e-05,2.918887280437305e-05,0.00044143415714593574,2.8338080380167304e-05,1.1891702828581673e-05,0.0800876605938828,1.2996728057128546,08194283-1003131
0.00019971014005779576,5.0185382989166485e-05,2.6551729914612744e-05,2.4054120702874792e-05,0.00036377291483282944,2.3186120044910276e-05,9.799241797644865e-06,0.07988170932284047,0.8193574728023613,15105086-3812141
0.000286718588325666,7.205121340330859e-05,4.028009503559618e-05,3.453367759235287e-05,0.0005222658445994508,3.373615379419265e-05,1.4069050449782168e-05,0.08029484868446028,0.8877471283657887,18133045-4220302
0.00022809655710606991,5.732122916808424e-05,2.918285189134148e-05,2.7472528465114446e-05,0.00041548927750941265,2.6612725035476727e-05,1.1192726481668321e-05,0.08001294026611454,0.8793595002735187,22291544-0506442
0.0002188665544422202,5.5002304971434865e-05,3.726318371892206e-05,2.636113986795757e-05,0.0003986759412619207,2.5497041889177612e-05,1.0740052720979938e-05,0.0799872001972709,0.9749385757479498,15203326-4004194
0.0001228684568034481,3.087596786663787e-05,1.8518013476527512e-05,1.4799244654300566e-05,0.00022382581785227137,1.4010901318948675e-05,6.029226547842986e-06,0.0795252545502571,0.7399943691259194,04431495-0043315
0.0002464626848699647,6.193704860527379e-05,4.341031553116033e-05,2.9685337909385946e-05,0.0004489560715362786,2.883831194502851e-05,1.2094186483558855e-05,0.0801216248455916,0.8391678615838514,02095279-0337545
0.00016405103149373277,4.1228412996328704e-05,2.461618257335279e-05,1.9761062434901127e-05,0.0002988265426422116,1.890947461551357e-05,8.05007009650198e-06,0.07971961275511297,0.7701799924959559,23301588-6406248
