C/H,N/H,Mg/H,Si/H,O/H,Fe/H,S/H,He/H,mass,name
0.00017970193349256557,4.515789551379252e-05,2.143399398778591e-05,2.1640192649253442e-05,0.00032731312006091144,1.2456147706794128e-05,8.817592559428358e-06,0.0797464580190965,1.2813584754477083,03395375-3701432
0.00012838941177985866,3.22838417197075e-05,2.9894553584265615e-05,1.547347167801794e-05,0.00023393278907255595,8.423701999000837e-06,6.308105995724174e-06,0.07954399422319816,0.9929907567143764,15165795-4129580
0.00010831021363226324,2.719834654290575e-05,1.8232868830829e-05,1.3039306341643269e-05,0.00019721929726760598,6.898873635701291e-06,5.3097487698774875e-06,0.07943627368949015,1.922191353775072,15103029-3611043
0.00021877322458677698,5.4948620597356954e-05,3.744657213034061e-05,2.6349909388470273e-05,0.00039848355357419114,1.5667311533220845e-05,1.0737396811231752e-05,0.07994391094036075,0.9084587459525876,18130866-4240507
0.0001180306916602826,2.9671102507252274e-05,1.5492098399521777e-05,1.421425748446124e-05,0.00021499572848654303,7.631798407492834e-06,5.7915838787064356e-06,0.07947251374918492,0.9742850255439984,10200707-2751115
0.0001102288452565519,2.770363526711689e-05,2.2095644117282336e-05,1.3284760070111125e-05,0.00020085479904785535,7.048000185802686e-06,5.4132118474826804e-06,0.07945202053434103,1.3496847841937836,15050689-3958482
0.00013204513041449616,3.3189036138668816e-05,1.912394027602572e-05,1.5911050790193456e-05,0.0002406680884415531,8.698975104946919e-06,6.479745641377274e-06,0.07953916941771137,0.8880512230559113,21272958-5649261
0.00011208328286530567,2.8163977318253006e-05,1.4813021235771876e-05,1.3492345799094395e-05,0.0002040790100328286,7.181805540724565e-06,5.4987172824163194e-06,0.07944582337722346,2.121058276595531,08204073-1002457
0.000206465776893899,5.1873238486886926e-05,3.495425220680924e-05,2.4871911720288167e-05,0.00037598353321856987,1.464464874949588e-05,1.0130746930300958e-05,0.07988641333015763,0.9164414740395966,14191906-4059122
0.0003050133093046238,7.663868689263813e-05,3.7471111678546464e-05,3.673807407596831e-05,0.0005555994724255144,2.309062380031085e-05,1.4970096830428184e-05,0.08031438316886477,1.0204557301602977,14302913-3356512
0.00042892092177688253,0.00010779274580233906,5.458887526178085e-05,5.1672006617168716e-05,0.0007813030276533616,3.437032365090806e-05,2.1060761619720597e-05,0.08088171643284657,1.081492758205728,20190287-6004380
0.00015311566314642723,3.849682026720798e-05,1.9625111770790427e-05,1.8445305464192915e-05,0.00027884799917635156,1.0334078412871087e-05,7.511313273989568e-06,0.07962957079372229,0.7867263427504145,14400082-3701166
0.00034620035611159996,8.69953543326695e-05,4.396003298426623e-05,4.1701496320166375e-05,0.0006307280722533925,2.6767159561728037e-05,1.6988897758903317e-05,0.08050427658778347,1.3122250277033582,06401626-5203391
0.00013056834216032767,3.2786473877895854e-05,1.7521800383636755e-05,1.571967686878408e-05,0.00023781516156454942,8.5811086586757e-06,6.4033160357522584e-06,0.0795295517955391,1.223335080429941,05200543-4636117
0.00026644541279810026,6.696990373511532e-05,3.45109584952244e-05,3.210280732178882e-05,0.00048557564609254234,1.9727801967107725e-05,1.3079111206179983e-05,0.0801432924901997,1.014774250670839,15491849-0730207
0.0001621830271902833,4.074722924091798e-05,3.2971937432206635e-05,1.9547945449972937e-05,0.00029546775740526437,1.1056073773487775e-05,7.962341017131084e-06,0.07969368115958464,0.8957395876166132,15103907-3805348
0.00011238959496416478,2.823117508798702e-05,1.3921027513905834e-05,1.3536734450456878e-05,0.0002046683825313094,7.203163262125806e-06,5.510536805459216e-06,0.07944546409788444,0.7877991632582775,04585410-5200076
0.0001325853976491988,3.331762530317662e-05,2.465227253040862e-05,1.596717620136372e-05,0.00024156841445225553,8.738627278578223e-06,6.506962589906661e-06,0.07955180248369335,1.9097177327643744,15104122-4251493
0.00020577535833464153,5.1697755764924875e-05,2.4060404734949653e-05,2.4787045822542157e-05,0.00037495703955359817,1.4587134570684773e-05,1.00963276794471e-05,0.07986310039754922,0.779997,12002974-2501382
0.00011459663216263508,2.8819580772564954e-05,1.715413719559022e-05,1.3812238930833668e-05,0.000208938418098593,7.3772590162050235e-06,5.630372562548604e-06,0.07946140206578399,1.0514279853265476,15003943-3955240
0.00021811098006489164,5.4786182211520774e-05,3.057720293126845e-05,2.6247077523513387e-05,0.00039717523740444543,1.5611193693673375e-05,1.0700953926303287e-05,0.07992786974279542,1.0666588053141113,14003171-2748080
9.031323066819665e-05,2.2719402100770812e-05,1.0961404674557545e-05,1.0890147573932508e-05,0.00016458630712865642,5.589640892073995e-06,4.432569571288721e-06,0.07934655269642013,0.7199969999997617,05001533-4714549
0.0001437833803248231,3.614990562419083e-05,1.5845589410539654e-05,1.73384219047093e-05,0.00026199688795098386,9.609216951604906e-06,7.057461320844501e-06,0.07958290887817382,0.7791987416743216,22090572-4952522
0.0001259575326361674,3.161957827007015e-05,2.6231004893612327e-05,1.5155853824708974e-05,0.00022930688417854137,8.226615639716676e-06,6.174653373061644e-06,0.07952626576017371,0.9326979848747318,15101032-3557413
0.00012853865988266694,3.2277441186254484e-05,1.939186299522549e-05,1.5472239888909037e-05,0.00023394885846124422,8.42433639876293e-06,6.306947706330246e-06,0.0795242461966844,0.9925633567622092,08000559-0504421
0.00015876562324146536,3.989600921557795e-05,2.064258850109044e-05,1.9127005506561978e-05,0.0002891109306755454,1.0785264463354781e-05,7.788666980904252e-06,0.07965555253335205,0.8610365074789035,04591380-5207366
